year,fsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,a) 1 to 4,2160280,2168849,5298699,4959263,488169,23.172,363866,17.272000000000002,2049052,1260777,788275,25.423,41.31800000000001,1361420,906474,454946,18.278,27.452,687632,13.866,54.904,293714,294609,748643
1979,a) 1 to 4,2171739,2179300,5265517,5037480,476636,22.609,334344,15.86,1926037,1234923,691114,24.515,38.234,1472523,886326,586197,17.595,29.231,453514,9.003,58.463,264008,265105,709085
1980,a) 1 to 4,2165964,2174260,5109794,5170812,442824,20.628,387775,18.063,1715902,1143698,572204,22.118,33.184,1842186,999355,842831,19.327,35.62699999999999,-126284,-2.442,66.369,306195,307465,795307
1981,a) 1 to 4,2205777,2213585,5230976,5115215,435147,20.018,355530,16.355,1769740,1154822,614918,22.576,34.598,1540467,883410,657057,17.27,30.115,229273,4.482,60.231,264864,266574,669367
1982,a) 1 to 4,2189951,2198684,5272522,5187516,446940,20.487,412771,18.921,1843288,1193291,649997,23.003,35.533,1672675,1028896,643779,19.834,32.244,170613,3.289,64.488,325282,326786,836206
1983,a) 1 to 4,2282870,2291447,5436450,5244502,486007,21.985,324369,14.673,1855652,1242932,612720,23.7,35.383,1473842,848866,624976,16.186,28.103,381810,7.28,56.205,256134,257619,696093
1984,a) 1 to 4,2387902,2396291,5817849,5462626,551754,24.038,349908,15.244000000000002,2171326,1448100,723226,26.509,39.749,1459327,896891,562436,16.419,26.715,711999,13.034,53.43,281960,283656,745572
1985,a) 1 to 4,2398569,2406544,5866517,5620902,540856,23.118,406763,17.387,2154475,1438631,715844,25.594,38.33,1661674,1064190,597484,18.933,29.562,492801,8.767000000000001,59.125,327732,329839,882848
1986,a) 1 to 4,2402181,2410865,5868541,5665703,518936,22.065,400834,17.044,2090855,1387076,703779,24.482,36.904,1683690,1062663,621027,18.756,29.717,407165,7.186,59.434,319871,321752,873544
1987,a) 1 to 4,2433924,2441657,5971826,5759844,539879,22.709,411274,17.3,2158989,1438290,720699,24.971,37.483,1735067,1096224,638843,19.032,30.124,423922,7.36,60.247,331336,333115,908803
1988,a) 1 to 4,2494416,2501686,6079598,5887759,539596,22.137,411324,16.874000000000002,2151090,1425980,725110,24.219,36.535,1769185,1075856,693329,18.273,30.049,381905,6.4860000000000015,60.097,331223,333143,891770
1989,a) 1 to 4,2520792,2529053,6130127,5936845,530240,21.475,410358,16.62,2136728,1407676,729052,23.711,35.991,1750958,1077680,673278,18.152,29.493,385770,6.497999999999998,58.986,335162,337234,906914
1990,a) 1 to 4,2543433,2551717,6187013,6011852,524621,20.995,418886,16.762999999999998,2132235,1395160,737075,23.207,35.467,1783417,1096666,686751,18.242,29.665,348818,5.8020000000000005,59.33,343924,346535,929935
1991,a) 1 to 4,2529885,2538952,6026939,6036497,481647,19.119,442047,17.547,1918669,1255018,663651,20.791,31.784,1941958,1161294,780664,19.238,32.17,-23289,-0.386,63.569,356867,359495,970520
1992,a) 1 to 4,2551170,2556891,6093873,6019896,477334,18.897,415452,16.447,1939225,1232815,706410,20.479,32.214,1794379,1060779,733600,17.621,29.807,144846,2.406,59.615,328297,330934,869873
1993,a) 1 to 4,2603872,2609545,6242057,6086163,503739,19.651,411458,16.051,2034535,1295273,739262,21.282,33.429,1721970,1037046,684924,17.039,28.293000000000006,312565,5.136,56.58600000000001,330959,332557,863204
1994,a) 1 to 4,2656864,2662963,6318974,6202454,510818,19.508,421783,16.108,2045530,1304695,740835,21.035,32.979,1813798,1066851,746947,17.2,29.243,231732,3.736,58.486,341292,343228,893574
1995,a) 1 to 4,2718894,2725103,6457863,6271357,529563,19.834,419308,15.705,2114096,1350658,763438,21.537,33.71,1739559,1051179,688380,16.762,27.738000000000003,374537,5.972,55.476000000000006,340946,342894,885246
