year,iesize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,a) 1 to 4,2160530,2340350,6292343,5534802,448191,19.587,343957,15.032,2469508,853429,1616079,15.419,44.618,958087,646240,311847,11.675999999999998,17.31,1511421,27.308000000000003,34.62,249775,251513,464146
1979,a) 1 to 4,2145206,2322058,6092212,5436404,431698,19.113,305000,13.503,2262910,816977,1445933,15.028,41.625,962150,587328,374822,10.804,17.698,1300760,23.927,35.397,219420,221186,419182
1980,a) 1 to 4,2106894,2286148,5771287,5309741,401763,17.771,350961,15.524,1996492,762429,1234063,14.359000000000002,37.601,1084190,655819,428371,12.351,20.419,912302,17.182000000000002,40.838,257214,259444,476300
1981,a) 1 to 4,2157545,2345296,6001181,5466537,388685,16.796,326355,14.103,2082457,737063,1345394,13.483,38.095,1023059,602582,420477,11.023,18.715,1059398,19.38,37.43,226106,228836,416988
1982,a) 1 to 4,2137131,2333206,6075079,5529376,404419,17.417,382086,16.455,2196839,788007,1408832,14.251,39.73,1115947,706556,409391,12.778,20.182,1080892,19.548,40.364,274817,277938,509505
1983,a) 1 to 4,2238671,2435944,6212345,5621559,441759,18.684,298693,12.633,2149596,830597,1318999,14.775,38.238,979276,573986,405290,10.21,17.42,1170320,20.818,34.84,212299,214967,411075
1984,a) 1 to 4,2360279,2563254,6774072,5984963,490846,19.825,316138,12.769,2533363,934568,1598795,15.615,42.32899999999999,963488,593064,370424,9.909,16.098,1569875,26.23,32.197,236121,238715,446728
1985,a) 1 to 4,2354993,2556878,6760464,6038752,478191,19.142,360660,14.437,2494396,915464,1578932,15.16,41.306,1062581,676881,385700,11.209,17.596,1431815,23.71,35.192,271873,274996,515923
1986,a) 1 to 4,2358588,2559218,6760875,6064021,466335,18.623,356176,14.223,2470333,898585,1571748,14.818,40.738,1085077,678496,406581,11.189,17.894000000000005,1385256,22.844,35.787,263985,267149,508938
1987,a) 1 to 4,2386405,2592608,6917533,6174014,491439,19.398,373132,14.728,2605692,942849,1662843,15.271,42.20399999999999,1128050,716807,411243,11.61,18.271,1477642,23.933000000000003,36.542,272359,275526,525352
1988,a) 1 to 4,2446287,2668175,7039729,6302079,501747,19.276,371271,14.264,2606303,956133,1650170,15.172,41.356,1141251,699690,441561,11.103,18.109,1465052,23.247,36.218,274676,278110,523228
1989,a) 1 to 4,2478441,2710622,7163571,6416575,491378,18.542,370175,13.969,2615150,940904,1674246,14.664,40.756,1135633,695428,440205,10.838,17.698,1479517,23.058000000000003,35.397,277451,281897,530256
1990,a) 1 to 4,2499197,2736263,7209693,6484518,477803,17.799,374296,13.943,2583981,911400,1672581,14.055,39.848,1146638,703022,443616,10.842,17.683,1437343,22.166,35.365,284743,289197,543592
1991,a) 1 to 4,2474509,2725156,6975378,6407033,457449,16.971,398048,14.767,2365099,877835,1487264,13.701,36.914,1244300,748712,495588,11.686,19.421,1120799,17.493,38.842,294629,299508,564307
1992,a) 1 to 4,2516700,2766752,7265774,6598888,445960,16.278,391806,14.300999999999998,2522235,844162,1678073,12.792,38.222,1203237,735799,467438,11.15,18.234,1318998,19.988,36.468,274331,279193,520000
1993,a) 1 to 4,2574864,2820360,7377798,6701135,458753,16.453,394670,14.154000000000002,2536288,856766,1679522,12.785,37.849,1193510,737218,456292,11.001,17.811,1342778,20.038,35.621,277894,283221,526482
1994,a) 1 to 4,2617572,2867563,7298492,6685805,475082,16.801,395410,13.983,2430337,888314,1542023,13.287,36.351,1216768,731944,484824,10.948,18.199,1213569,18.151,36.399,286665,290866,537998
1995,a) 1 to 4,2686796,2944840,7449489,6801328,490228,16.930999999999994,391274,13.514,2466219,915005,1551214,13.453,36.261,1180433,718324,462109,10.562,17.355999999999998,1285786,18.905,34.712,287344,291981,536365
1996,a) 1 to 4,2706470,2968742,7452680,6841794,483804,16.500999999999998,410097,13.987,2432616,900227,1532389,13.158,35.555,1220891,750737,470154,10.973,17.845,1211725,17.711,35.689,298800,303266,556000
1997,a) 1 to 4,2735770,3002026,7709958,7013163,499878,16.820999999999998,439388,14.785,2658919,937548,1721371,13.368,37.913,1274513,811274,463239,11.568,18.173,1384406,19.74,36.346,308387,313974,576376
1998,a) 1 to 4,2757078,3038671,7780933,7082762,489564,16.313,414431,13.809,2625606,905540,1720066,12.785,37.07,1239515,763605,475910,10.781,17.5,1386091,19.57,35.001,289105,293705,537756
1999,a) 1 to 4,2768979,3058502,7757137,7079333,481378,15.909,415865,13.744000000000002,2578812,891632,1687180,12.595,36.427,1236047,760939,475108,10.749,17.46,1342765,18.967,34.92,292826,297386,542709
2000,a) 1 to 4,2762366,3064466,7825608,7138639,466313,15.314,427279,14.032,2607530,872312,1735218,12.22,36.527,1241860,776395,465465,10.876,17.396,1365670,19.131,34.793,292020,297072,538375
2001,a) 1 to 4,2745675,3056045,7744815,7090355,476436,15.693,436422,14.375,2577194,889294,1687900,12.542,36.348,1278808,795700,483108,11.222,18.036,1298386,18.312,36.072,293077,298192,541929
2002,a) 1 to 4,2764873,3077816,7917790,7202108,498947,16.287,470293,15.352,2761666,951290,1810376,13.208,38.345,1347186,858759,488427,11.924,18.705,1414480,19.64,37.411,302999,309051,561284
2003,a) 1 to 4,2826523,3148394,8050751,7341098,518184,16.63,453474,14.553,2747450,957558,1789892,13.044,37.426,1342770,825337,517433,11.243,18.291,1404680,19.134,36.582,300812,305009,555151
2004,a) 1 to 4,2878407,3210896,8278036,7479021,532002,16.795,445390,14.061,2865021,980266,1884755,13.107,38.307,1280662,803563,477099,10.744000000000002,17.123,1584359,21.184,34.247,299911,304149,553874
2005,a) 1 to 4,2921919,3263048,8063603,7423259,553501,17.198,464391,14.429,2649939,1004951,1644988,13.538,35.698,1383873,837891,545982,11.287,18.642,1266066,17.055,37.285,314591,319213,578641
2006,a) 1 to 4,3005957,3371444,8378372,7637472,608842,18.349,502063,15.130999999999998,2849982,1102361,1747621,14.434,37.316,1378835,892715,486120,11.689,18.054,1471147,19.262,36.107,361766,365629,656193
2007,a) 1 to 4,3018196,3398403,8496671,7744204,572254,17.014,502428,14.938,2913744,1022232,1891512,13.2,37.625,1426591,886635,539956,11.449000000000002,18.421,1487153,19.203,36.843,339908,343968,606220
2008,a) 1 to 4,2976874,3362704,8282947,7680169,503347,14.887,540198,15.977,2669591,892669,1776922,11.623,34.76,1480651,933128,547523,12.15,19.279,1188940,15.481,38.558,371951,375882,650715
2009,a) 1 to 4,2885275,3258656,7795636,7408197,450473,13.554,580279,17.46,2328981,799214,1529767,10.788,31.438,1570932,1003203,567729,13.542,21.205,758049,10.233,42.411,384841,389105,677438
2010,a) 1 to 4,2895666,3282537,7857227,7405163,456633,13.785,516415,15.59,2299312,814210,1485102,10.995,31.05,1408803,893539,515264,12.066,19.025,890509,12.026,38.049,332114,336951,586964
2011,a) 1 to 4,2918412,3318833,7992437,7462704,483501,14.559,487846,14.69,2374686,855124,1519562,11.459,31.821,1328129,839699,488430,11.252,17.797,1046557,14.024,35.594,318989,323727,562133
2012,a) 1 to 4,2959634,3355515,8194295,7538999,491136,14.739,444373,13.336,2533967,869468,1664499,11.533,33.611,1240417,775956,464461,10.293,16.453,1293550,17.158,32.907,280804,285932,500440
2013,a) 1 to 4,2959907,3361461,8073130,7492983,482711,14.439,446083,13.343,2379889,850957,1528932,11.357,31.762,1237365,775855,461510,10.354,16.514,1142524,15.248,33.027,286401,288996,505926
2014,a) 1 to 4,2977004,3390935,8112736,7513169,489420,14.555,432621,12.866,2382877,859871,1523006,11.445,31.716,1199596,748619,450977,9.964,15.967,1183281,15.749,31.933000000000003,290031,293207,510982
2015,a) 1 to 4,2996623,3422715,8160956,7555870,495292,14.602,433561,12.782,2399633,868928,1530705,11.5,31.759,1203195,751124,452071,9.941,15.924,1196438,15.835,31.848000000000006,290733,294104,513015
2016,a) 1 to 4,3031765,3493270,8280824,7641885,515570,14.966,418730,12.155,2438658,906712,1531946,11.865,31.912,1175888,720596,455292,9.43,15.387,1262770,16.524,30.775,297946,301422,521987
2017,a) 1 to 4,3042504,3496644,8363420,7730409,491202,14.128,451637,12.99,2515815,854551,1661264,11.054,32.544000000000004,1265072,778985,486087,10.077,16.365,1250743,16.18,32.73,314166,317848,547796
2018,a) 1 to 4,3057257,3515430,8372919,7733278,482852,13.819,440204,12.598,2478284,830539,1647745,10.74,32.047,1205224,752642,452582,9.733,15.585,1273060,16.462,31.17,336698,341627,581544
1978,b) 5 to 9,757231,899090,6539228,6110253,104716,11.864,71866,8.142000000000001,1865951,681369,1184582,11.151,30.538,1000262,465170,535092,7.612999999999999,16.37,865689,14.168,32.74,45804,46610,300808
1979,b) 5 to 9,804680,956963,6710432,6406690,100001,10.604,72187,7.655,1748920,650792,1098128,10.158,27.298,1133694,469301,664393,7.325,17.695,615226,9.603,35.391,46350,47072,304144
1980,b) 5 to 9,815110,976259,6517853,6414542,93347,9.643,76807,7.935,1527707,606404,921303,9.454,23.816,1306330,499175,807155,7.782,20.365,221377,3.451,40.73,50955,51774,336006
1981,b) 5 to 9,818877,990267,6643279,6466205,97919,10.054,65250,6.7,1556621,638027,918594,9.867,24.073,1191613,421763,769850,6.523,18.428,365008,5.645,36.857,40940,41942,271436
1982,b) 5 to 9,827495,1010193,6777599,6629853,102025,10.22,78219,7.835,1634986,660058,974928,9.956,24.661,1331684,505776,825908,7.629,20.086,303302,4.575,40.172,52348,53565,346844
