year,ifsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,a) 1 to 4,2092190,2098688,5428303,4796321,405514,19.776,309176,15.078,2108351,760702,1347649,15.86,43.958,843080,561641,281439,11.71,17.578,1265271,26.38,35.155,248559,248850,457314
1979,a) 1 to 4,2077669,2085149,5309778,4745159,397890,19.656,276131,13.640999999999998,1988860,744821,1244039,15.696,41.913,867637,518153,349484,10.92,18.285,1121223,23.629,36.569,218196,218578,412908
1980,a) 1 to 4,2040988,2048551,4961656,4662985,369242,18.23,323061,15.95,1696734,686798,1009936,14.729,36.387,1108039,589287,518752,12.638,23.762,588695,12.625,47.525,255865,256347,468756
1981,a) 1 to 4,2091560,2099303,5210004,4755893,358310,17.303,301214,14.546,1831255,663244,1168011,13.946,38.505,930359,542670,387689,11.41,19.562,900896,18.943,39.124,224463,225128,407744
1982,a) 1 to 4,2069838,2077606,5180812,4754843,366627,17.718,349824,16.906,1849142,695638,1153504,14.63,38.89,1002897,629463,373434,13.238,21.092,846245,17.798,42.184,273434,274056,500051
1983,a) 1 to 4,2165715,2173051,5307981,4836261,406380,19.31,269354,12.799,1820652,747355,1073297,15.453,37.646,884683,503396,381287,10.409,18.293,935969,19.353,36.585,210666,211175,401608
1984,a) 1 to 4,2287186,2295275,5849829,5185702,459798,20.789,292814,13.239,2207280,864089,1343191,16.663,42.565,882863,536867,345996,10.353,17.025,1324417,25.54,34.05,234478,235146,437580
1985,a) 1 to 4,2284361,2292134,5851117,5248635,447974,20.032,336260,15.037,2176266,846265,1330001,16.124000000000002,41.463,976067,618263,357804,11.78,18.597,1200199,22.867,37.19300000000001,269627,270395,503983
1986,a) 1 to 4,2286149,2294162,5862811,5291422,426821,19.002,330848,14.729,2132147,805770,1326377,15.228,40.294,993931,619448,374483,11.707,18.784,1138216,21.511,37.56800000000001,262323,263116,499015
1987,a) 1 to 4,2311859,2319496,5924044,5346026,444023,19.59,338295,14.925,2169785,837267,1332518,15.661,40.587,1020265,634200,386065,11.863,19.085,1149520,21.502,38.169,270694,271498,515554
1988,a) 1 to 4,2366954,2373413,5993277,5443731,445821,19.207,341217,14.701,2145186,836478,1308708,15.366,39.407,1054862,631581,423281,11.602,19.378,1090324,20.029,38.755,272720,273505,511763
1989,a) 1 to 4,2398724,2406524,6108290,5531815,438082,18.586,339176,14.39,2179485,823551,1355934,14.888,39.399,1034029,626084,407945,11.318,18.692,1145456,20.707,37.385,274958,275721,515378
1990,a) 1 to 4,2419215,2427297,6140645,5583282,433303,18.176,346523,14.536,2155781,814865,1340916,14.595,38.611,1049862,638682,411180,11.439,18.804,1105919,19.808,37.607,282269,283344,529341
1991,a) 1 to 4,2391822,2400851,5923520,5511666,400570,16.807000000000002,365480,15.335,1953895,744185,1209710,13.502,35.45,1142521,676338,466183,12.271,20.729,811374,14.720999999999998,41.458,292253,293388,550203
1992,a) 1 to 4,2431824,2438294,6107671,5620584,398320,16.508,347488,14.401,2046702,739189,1307513,13.151,36.414,1081784,633046,448738,11.263,19.247,964918,17.168,38.494,272164,273340,505678
1993,a) 1 to 4,2485855,2490649,6252640,5703766,421114,17.165,346592,14.127,2127145,774207,1352938,13.574000000000002,37.294,1035526,625950,409576,10.974,18.155,1091619,19.139,36.31,275927,276551,507187
1994,a) 1 to 4,2530793,2536610,6229844,5744119,429165,17.172,354513,14.185,2052832,788885,1263947,13.734000000000002,35.738,1090470,641598,448872,11.17,18.984,962362,16.754,37.968,284229,284903,523338
1995,a) 1 to 4,2599975,2605906,6389788,5856731,445243,17.391,353732,13.817,2115407,818692,1296715,13.979,36.119,1055810,634812,420998,10.839,18.027,1059597,18.092,36.055,284869,285632,520525
1996,a) 1 to 4,2621927,2627925,6379691,5885583,440042,16.977999999999998,367801,14.191,2066425,808081,1258344,13.73,35.11,1085424,659757,425667,11.21,18.442,981001,16.668,36.884,296400,297221,541291
1997,a) 1 to 4,2653993,2658956,6519095,5996246,443506,16.884,379161,14.434,2141352,819009,1322343,13.659,35.712,1102414,681973,420441,11.373,18.385,1038938,17.326,36.77,305660,306654,559098
1998,a) 1 to 4,2679271,2682611,6565677,6050738,430321,16.236,365769,13.800999999999998,2123527,786461,1337066,12.998,35.095,1099118,657141,441977,10.861,18.165,1024409,16.93,36.33,286995,287510,522408
1999,a) 1 to 4,2695067,2698814,6595693,6092911,422065,15.789,370793,13.871,2119769,770281,1349488,12.642,34.791,1124442,663784,460658,10.894,18.455,995327,16.336,36.91,290300,290783,526087
2000,a) 1 to 4,2690124,2694299,6627005,6105929,407142,15.204,374170,13.973,2130523,753257,1377266,12.336,34.893,1094448,667502,426946,10.932,17.924,1036075,16.968,35.84900000000001,289513,290144,522150
2001,a) 1 to 4,2674448,2679664,6451046,6011780,412010,15.475,377387,14.175,2004080,756976,1247104,12.592,33.336,1133737,675641,458096,11.239,18.859,870343,14.477,37.717,290550,291247,525410
2002,a) 1 to 4,2691164,2695347,6525198,6063735,428896,15.988,403387,15.037,2084543,800900,1283643,13.208,34.376999999999995,1172074,716526,455548,11.817,19.329,912469,15.048,38.658,300892,301868,544442
2003,a) 1 to 4,2750251,2753731,6778377,6238297,454698,16.697,393760,14.459,2234121,839896,1394225,13.464,35.813,1159993,701842,458151,11.251,18.595,1074128,17.218,37.189,298988,299552,542552
2004,a) 1 to 4,2803832,2807949,6867283,6320304,472389,17.065,392695,14.186,2228999,858748,1370251,13.587,35.267,1146954,700040,446914,11.076,18.147,1082045,17.12,36.294,298226,298682,541355
2005,a) 1 to 4,2847756,2852430,6769421,6345769,492335,17.507,411880,14.646,2148652,886367,1262285,13.968,33.86,1315179,733147,582032,11.553,20.725,833473,13.134,41.451,312754,313447,566187
2006,a) 1 to 4,2928924,2934119,6994756,6466750,535473,18.508,453729,15.682,2284364,957988,1326376,14.814,35.325,1237414,797614,439800,12.334,19.135,1046950,16.19,38.27,360005,360743,645019
2007,a) 1 to 4,2942746,2947897,6949213,6470592,490004,16.781,434160,14.869000000000002,2178532,862523,1316009,13.33,33.668,1238332,751391,486941,11.612,19.138,940200,14.53,38.276,338295,339143,595052
2008,a) 1 to 4,2899046,2902625,6763272,6400710,435446,14.895,476961,16.315,2019150,762882,1256268,11.919,31.546,1304482,811172,493310,12.673,20.38,714668,11.165,40.761,370300,370847,639636
2009,a) 1 to 4,2808348,2812902,6473195,6235440,390872,13.597,514530,17.898,1854088,683740,1170348,10.965,29.735,1391328,878734,512594,14.093,22.313,462760,7.421,44.62600000000001,383043,383673,665182
2010,a) 1 to 4,2816872,2822263,6498163,6198251,400961,14.07,455920,15.999,1832461,705248,1127213,11.378,29.564,1242504,778104,464400,12.554,20.046,589957,9.518,40.092,330230,331065,574190
2011,a) 1 to 4,2838794,2844686,6582037,6222859,421705,14.797,432206,15.165,1879425,738005,1141420,11.86,30.202,1170326,735344,434982,11.817,18.807,709099,11.395,37.614,317197,318163,549465
