year,metro,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,M,3271552,3976221,65774681,63325397,603422,15.480,447354,11.476,13862396,4887025,8975371,7.717,21.891,8967032,3837955,5129077,6.061,14.160,4895364,7.730,28.320,299009,303957,1708575
1978,N,296450,329621,3405459,3273689,48824,15.030,39268,12.088,744846,272017,472829,8.309,22.753,481065,211019,270046,6.446,14.695,263781,8.058,29.390,28248,28446,116674
1978,SW,1546,3245,163228,152566,1002,33.869,429,14.501,54447,27287,27160,17.885,35.688,33222,15390,17832,10.087,21.776,21225,13.912,43.551,16,27,312
1979,M,3375722,4107043,69573372,67563795,576627,14.332,409397,10.175,13133554,4571548,8562006,6.766,19.439,9109004,3409696,5699308,5.047,13.482,4024550,5.957,26.964,273088,277381,1556879
1979,N,303339,337037,3565627,3478196,46363,13.958,36609,11.021,691142,257469,433673,7.402,19.871,518236,211123,307113,6.070,14.900,172906,4.971,29.799,26178,26376,116271
1979,SW,3042,4753,195026,179079,2181,54.689,651,16.324,52935,17568,35367,9.810,29.560,20541,8103,12438,4.525,11.470,32394,18.089,22.941,387,392,1731
1980,M,3390729,4152591,70021436,69808133,539584,13.128,454733,11.064,11470892,4389036,7081856,6.287,16.432,11036339,3515225,7521114,5.036,15.810,434553,0.622,31.619,314860,320354,1783657
1980,N,300371,334488,3530006,3553680,40860,12.203,41550,12.409,571725,235689,336036,6.632,16.088,619448,219176,400272,6.168,17.431,-47723,-1.343,32.177,29953,30180,127090
1980,SW,1799,3637,201861,197497,987,24.000,1938,47.125,45743,11870,33873,6.010,23.161,37076,11693,25383,5.921,18.773,8667,4.388,37.546,1690,1696,7518
1981,M,3441003,4232396,70589970,70221801,533955,12.797,414155,9.926,11299188,4396449,6902739,6.261,16.091,10555861,3096431,7459430,4.410,15.032,743327,1.059,30.064,269591,275735,1436502
1981,N,300316,335394,3552078,3540645,40076,12.007,36821,11.032,589784,247153,342631,6.980,16.658,566347,194129,372218,5.483,15.996,23437,0.662,31.991,26288,26498,108531
1981,SW,3143,5286,239118,220819,2271,50.982,608,13.649,63596,20137,43459,9.119,28.800,26841,6375,20466,2.887,12.155,36755,16.645,24.310,413,419,1745
1982,M,3437725,4261832,70931909,70692918,557422,13.192,484569,11.468,11996645,4948498,7048147,7.000,16.970,11518692,3503046,8015646,4.955,16.294,477953,0.676,32.588,332773,339144,1790756
1982,N,294009,330506,3492307,3517378,40600,12.263,41717,12.601,579830,244943,334887,6.964,16.485,628897,205662,423235,5.847,17.880,-49067,-1.395,32.969,30489,30706,123952
1982,SW,1439,4004,268114,253165,844,18.438,1991,43.495,88811,33621,55190,13.280,35.080,58116,20897,37219,8.254,22.956,30695,12.125,45.912,1669,1676,7126
1983,M,3545154,4376085,70155721,70111997,581714,13.575,400204,9.339,11886226,4602500,7283726,6.564,16.953,11791964,3293218,8498746,4.697,16.819,94262,0.134,33.638,268893,275222,1617973
1983,N,295605,332103,3414345,3437199,40896,12.446,33861,10.305,583039,258402,324637,7.518,16.963,628542,204549,423993,5.951,18.286,-45503,-1.324,33.925,24667,24921,122331
1983,SW,1297,3602,228140,260142,654,18.281,605,16.911,38105,14386,23719,5.530,14.648,102049,22516,79533,8.655,39.228,-63944,-24.580,29.296,14,18,407
1984,M,3699322,4550965,74842003,72269218,646798,14.588,412585,9.305,14312495,5135702,9176793,7.106,19.804,9156057,2995532,6160525,4.145,12.669,5156438,7.135,25.339,294713,300432,1643381
1984,N,308151,345497,3618198,3507465,50092,14.876,32563,9.670,675763,256801,418962,7.322,19.266,455369,163115,292254,4.651,12.983,220394,6.284,25.966,24548,24734,106847
1984,SW,1787,4213,223901,224742,1107,28.682,400,10.364,44930,18073,26857,8.042,19.992,48108,10190,37918,4.534,21.406,-3178,-1.414,39.984,62,75,462
1985,M,3774063,4637188,77803385,75913867,645994,14.175,486037,10.665,14717371,5490878,9226493,7.233,19.387,10949058,4076449,6872609,5.370,14.423,3768313,4.964,28.846,348630,356335,2282630
1985,N,307578,344977,3629358,3616311,44366,12.954,39368,11.495,625299,244862,380437,6.771,17.291,596633,248271,348362,6.865,16.498,28666,0.793,32.997,29416,29699,137179
1985,SW,1504,3859,196298,208554,598,15.093,804,20.293,40104,11991,28113,5.750,19.230,65140,19929,45211,9.556,31.234,-25036,-12.005,38.459,399,408,3257
1986,M,3830496,4723568,79583870,78236259,652058,14.062,479203,10.334,14507891,5597319,8910572,7.154,18.544,11813850,3878785,7935065,4.958,15.100,2694041,3.443,30.200,338484,345226,2097138
1986,N,304538,342321,3659311,3638542,41450,12.167,38147,11.198,619916,249252,370664,6.850,17.037,577314,213206,364108,5.860,15.867,42602,1.171,31.733,28253,28519,131309
1986,SW,1267,3413,181362,187557,413,11.650,677,19.097,35741,8063,27678,4.299,19.056,47653,10181,37472,5.428,25.407,-11912,-6.351,38.112,213,222,1470
1987,M,3894918,4826797,81494929,80625808,691308,14.585,517564,10.919,15660914,6371798,9289116,7.903,19.424,13916858,4657347,9259511,5.776,17.261,1744056,2.163,34.522,356227,363515,2354829
1987,N,304058,342641,3692291,3683667,42919,12.631,37197,10.947,651932,260726,391206,7.078,17.698,639516,229359,410157,6.226,17.361,12416,0.337,34.722,26739,26989,134965
1987,SW,1298,3561,156074,167981,853,24.949,569,16.642,26673,11612,15061,6.913,15.879,50576,12893,37683,7.675,30.108,-23903,-14.230,31.757,78,90,853
1988,M,4012955,5007445,84390347,83009595,701407,14.284,507688,10.339,15779968,6156752,9623216,7.417,19.010,13028417,4548140,8480277,5.479,15.695,2751551,3.315,31.390,355500,364347,2385029
1988,N,310542,350858,3817651,3746217,43658,12.610,34369,9.927,682630,277860,404770,7.417,18.222,539869,205922,333947,5.497,14.411,142761,3.811,28.822,24875,25135,120540
1988,SW,1332,3549,153937,154786,722,20.780,573,16.492,40666,11606,29060,7.498,26.272,42495,13585,28910,8.777,27.454,-1829,-1.182,52.545,35,58,361
1989,M,4083711,5117358,87335096,85617595,685215,13.624,509193,10.124,15754159,5891568,9862591,6.881,18.401,12339761,4312034,8027727,5.036,14.413,3414398,3.988,28.825,361639,372762,2373897
1989,N,314483,356430,3943960,3869678,43014,12.220,34172,9.708,669765,249466,420299,6.447,17.308,522539,197451,325088,5.103,13.503,147226,3.805,27.007,25641,25939,122964
1989,SW,1539,3724,146041,148216,799,22.428,476,13.361,36043,15839,20204,10.686,24.318,41075,17446,23629,11.771,27.713,-5032,-3.395,48.636,34,48,2801
