year,sector,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,21,19249,24814,707332,706704,4242,17.423,3307,13.583,173829,67336,106493,9.528,24.597,172799,63019,109780,8.917,24.451,1030,0.146,48.903,1761,1789,16595
1979,21,19821,25459,810623,760019,4175,16.67,3346,13.36,219540,57061,162479,7.507999999999999,28.886,118391,55741,62650,7.334,15.577,101149,13.309,31.155,1854,1871,19096
1980,21,20770,26571,854871,834199,4378,16.81,3323,12.759,181879,67080,114799,8.041,21.803,140241,46243,93998,5.542999999999998,16.811,41638,4.9910000000000005,33.623000000000005,2113,2177,23721
1981,21,23878,30025,963730,910181,6185,21.75,3008,10.578,239754,84738,155016,9.31,26.341,131897,48755,83142,5.357,14.491,107857,11.85,28.983,1778,1796,22196
1982,21,26296,32834,1022235,992050,6743,21.427,4013,12.752,266174,100942,165232,10.175,26.831,206451,76173,130278,7.678,20.811,59723,6.02,41.621,2608,2635,32117
1983,21,25522,31811,796554,909716,4433,13.689,5577,17.222,126248,56521,69727,6.212999999999999,13.878,353155,91443,261712,10.052,38.82,-226907,-24.943,27.755,3799,3824,40602
1984,21,25394,31873,812172,801222,4596,14.425999999999998,4567,14.335,182434,52201,130233,6.515,22.769,162433,55277,107156,6.899,20.273,20001,2.496,40.546,3235,3264,27166
1985,21,25332,31706,772994,781205,4373,13.741,4611,14.489,145170,47657,97513,6.1,18.583,161952,63638,98314,8.146,20.731,-16782,-2.148,37.166,3246,3274,30477
1986,21,24312,30358,695114,734841,3583,11.542,4951,15.949000000000002,117303,43828,73475,5.964,15.963,196984,59796,137188,8.137,26.806,-79681,-10.843,31.926,3422,3457,27140
1987,21,21680,27320,583185,638397,3344,11.622,6252,21.728,101389,43519,57870,6.817,15.882,211932,81549,130383,12.774,33.198,-110543,-17.316,31.764,4041,4080,33080
1988,21,21297,26575,581396,583455,3486,12.939,4219,15.66,123708,40550,83158,6.95,21.203000000000007,128337,52767,75570,9.044,21.996,-4629,-0.7929999999999999,42.405,2672,2701,19148
1989,21,20628,25846,566823,574765,3032,11.562,3787,14.441,107619,42619,65000,7.415,18.724,123667,51977,71690,9.043,21.516,-16048,-2.792,37.448,2550,2587,22437
1990,21,20441,25553,577225,571195,3059,11.896,3380,13.145,108317,34794,73523,6.091,18.963,96098,39191,56907,6.8610000000000015,16.824,12219,2.139,33.648,2226,2261,17227
1991,21,21117,26185,575048,578561,3086,11.746,3262,12.416,101474,38674,62800,6.685,17.539,108271,42223,66048,7.297999999999999,18.714,-6797,-1.175,35.078,2181,2212,19788
1992,21,19884,24741,524370,547362,2644,10.453,3751,14.829,89124,32752,56372,5.984,16.282,134647,46682,87965,8.529,24.599,-45523,-8.317,32.565,2336,2362,18476
1993,21,19316,24016,485716,502943,2632,10.824000000000002,3232,13.292,84798,31627,53171,6.2879999999999985,16.86,119540,38594,80946,7.673999999999999,23.768,-34742,-6.908,33.721,2072,2092,15178
1994,21,18988,23808,493424,491673,2535,10.569,2888,12.041,89283,30567,58716,6.2170000000000005,18.159,85814,31842,53972,6.476,17.453,3469,0.706,34.907,1917,1937,13993
1995,21,18622,23333,489194,491275,2310,9.802,2775,11.776,83278,24905,58373,5.069,16.951,87574,31206,56368,6.352,17.826,-4296,-0.8740000000000001,33.903,1836,1855,13439
1996,21,17939,22681,471095,476936,2206,9.621,2701,11.78,75333,19427,55906,4.073,15.795,86983,34672,52311,7.27,18.238,-11650,-2.443,31.59,1825,1857,17333
1997,21,17637,22303,481267,476079,2442,10.902,2635,11.764,101288,35963,65325,7.5539999999999985,21.275,90026,39276,50750,8.25,18.91,11262,2.366,37.82,1617,1641,14101
1998,21,17472,22144,488983,486644,2224,9.988,2468,11.084,92918,27240,65678,5.598,19.094,88102,32761,55341,6.732,18.104,4816,0.99,36.208,1506,1561,15020
1999,21,16553,21330,445459,467307,1910,8.788,2717,12.501,58532,19371,39161,4.145,12.525,101838,31245,70593,6.686,21.793000000000006,-43306,-9.267,25.051,1712,1759,16240
2000,21,16360,21351,453576,452518,2196,10.28,2218,10.383,85143,30562,54581,6.754,18.815,83946,25670,58276,5.672999999999999,18.551,1197,0.265,37.102,1380,1409,9454
2001,21,16772,21928,484091,469794,2375,10.928,1985,9.134,90249,25462,64787,5.42,19.21,61871,21323,40548,4.539,13.17,28378,6.041,26.34,1237,1269,9175
2002,21,16806,22353,479930,488930,2639,11.859000000000002,2440,10.965,83996,35129,48867,7.185,17.18,103286,36925,66361,7.552,21.125,-19290,-3.945,34.359,1285,1303,12438
2003,21,16274,21471,455506,462720,1907,8.791,2348,10.825,71630,19578,52052,4.231,15.48,85397,27981,57416,6.0470000000000015,18.455,-13767,-2.975,30.96,1246,1281,10414
2004,21,16555,21671,466067,459674,2126,9.85,1953,9.048,73966,23237,50729,5.055,16.090999999999998,60909,22523,38386,4.9,13.25,13057,2.84,26.501,1093,1124,9562
2005,21,16870,21994,490580,477728,2253,10.344,1825,8.379,86786,24409,62377,5.109,18.166,60730,19837,40893,4.152,12.712,26056,5.454,25.425,1054,1086,7849
2006,21,17786,23232,549629,520615,3096,13.675999999999998,1907,8.424,117034,44083,72951,8.467,22.48,58337,24177,34160,4.644,11.205,58697,11.275,22.411,1202,1227,9489
2007,21,18488,24092,703411,622049,3360,14.338,2045,8.726,234527,58240,176287,9.363,37.702,71227,28916,42311,4.649,11.45,163300,26.252,22.901,1138,1155,10709
2008,21,18559,24524,619825,661577,2778,11.467,2184,9.015,104351,30513,73838,4.612,15.773,187959,33230,154729,5.023,28.411,-83608,-12.638,31.546,1401,1409,13013
2009,21,18705,24747,601702,612998,2591,10.504,2429,9.848,88905,28376,60529,4.629,14.503,111639,27850,83789,4.543,18.212,-22734,-3.709,29.007,1424,1455,13410
2010,21,18410,24606,586391,596057,2319,9.378,2565,10.372,87198,31934,55264,5.358,14.629,106714,25752,80962,4.32,17.903,-19516,-3.274,29.258000000000006,1563,1575,12101
2011,21,18796,25237,648500,617940,2801,11.242,2156,8.654,134106,33798,100308,5.4689999999999985,21.702,72252,20476,51776,3.314,11.692,61854,10.01,23.385,1390,1408,10120
2012,21,19596,26261,724800,687635,2994,11.588,2148,8.312999999999999,155071,39744,115327,5.78,22.551,81480,28862,52618,4.197,11.849,73591,10.702,23.699,1271,1299,11853
2013,21,19402,26034,724048,720681,2712,10.45,2547,9.814,116060,34375,81685,4.77,16.104,109529,39451,70078,5.474,15.198,6531,0.906,30.396,1542,1576,12842
2014,21,20003,26891,753923,740289,2878,10.813,2330,8.754,128172,40630,87542,5.488,17.314,100789,32218,68571,4.352,13.615,27383,3.699,27.23,1488,1519,14227
2015,21,19880,26926,740825,749372,2824,10.493,2800,10.404000000000002,108738,40593,68145,5.417000000000002,14.511,126500,36722,89778,4.9,16.881,-17762,-2.37,29.021,1830,1846,14950
2016,21,18183,25079,583097,661968,1953,7.5139999999999985,3780,14.543,53707,26286,27421,3.971,8.113,211051,41865,169186,6.324,31.882,-157344,-23.769,16.226,2472,2503,18962
2017,21,17219,23810,581729,583303,2270,9.306,3434,14.078,103063,33045,70018,5.665,17.669,107319,44550,62769,7.638,18.399,-4256,-0.73,35.338,2029,2104,16073
2018,21,17204,23718,613673,598647,2166,9.106,2305,9.69,107816,21759,86057,3.635,18.01,77125,29082,48043,4.8580000000000005,12.883,30691,5.127000000000002,25.766,1616,1683,11198
1978,22,5674,11799,657194,641515,928,7.967,626,5.374,82181,22114,60067,3.447,12.81,51340,13986,37354,2.18,8.003,30841,4.808,16.006,216,219,1795
1979,22,5450,11588,675077,663656,788,6.938,326,2.87,60637,21757,38880,3.278,9.137,38468,7696,30772,1.16,5.796,22169,3.34,11.593,40,40,324
1980,22,5470,11771,692744,683580,652,5.646,206,1.784,44858,13554,31304,1.983,6.562,26578,6542,20036,0.957,3.888,18280,2.674,7.776,47,52,286
1981,22,5481,11811,712570,702761,587,5.041,255,2.19,42333,8934,33399,1.271,6.024,22728,6490,16238,0.924,3.234,19605,2.79,6.468,57,58,143
1982,22,5857,12277,746752,729519,961,8.064,242,2.031,57183,17880,39303,2.451,7.837999999999999,23511,4423,19088,0.606,3.2230000000000003,33672,4.6160000000000005,6.4460000000000015,128,131,514
