year,vcnaics3,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,211,5249,7001,119104,116723,957,13.777,848,12.208,29591,10797,18794,9.250,25.352,24781,12612,12169,10.805,21.231,4810,4.121,42.461,387,398,1624
1978,212,7342,9841,369725,387831,1593,16.390,1350,13.890,70596,28099,42497,7.245,18.203,106326,32382,73944,8.350,27.416,-35730,-9.213,36.406,738,745,9916
1978,213,6872,7972,218503,202151,1692,22.030,1109,14.439,73704,28440,45264,14.069,36.460,41675,18025,23650,8.917,20.616,32029,15.844,41.232,637,646,5055
1978,221,5674,11799,657194,641515,928,7.967,626,5.374,82181,22114,60067,3.447,12.810,51340,13986,37354,2.180,8.003,30841,4.808,16.006,216,219,1795
1978,236,134452,135441,1168587,1076829,34678,27.053,20168,15.733,423835,154881,268954,14.383,39.360,241295,88763,152532,8.243,22.408,182540,16.952,44.816,15568,15577,64393
1978,237,35238,36233,742422,709244,6092,17.169,4590,12.936,214500,59982,154518,8.457,30.243,147104,40457,106647,5.704,20.741,67396,9.503,41.482,3393,3404,22390
1978,238,256376,259268,2167340,2014136,50890,20.366,32118,12.853,705292,220483,484809,10.947,35.017,397535,147339,250196,7.315,19.737,307757,15.280,39.475,24895,24903,103432
1978,311,22964,29006,1378953,1354343,2808,9.645,3021,10.377,205289,72180,133109,5.330,15.158,156670,70191,86479,5.183,11.568,48619,3.590,23.136,1922,1961,24533
1978,312,2491,3181,229651,226841,222,6.921,275,8.574,29707,8607,21100,3.794,13.096,23455,10674,12781,4.706,10.340,6252,2.756,20.680,147,148,2492
1978,313,3674,4822,627509,630492,408,8.435,438,9.055,56056,17663,38393,2.801,8.891,61567,27513,34054,4.364,9.765,-5511,-0.874,17.782,274,275,7253
1978,314,7853,8312,282768,272388,1132,13.850,854,10.449,54272,17733,36539,6.510,19.925,33686,15017,18669,5.513,12.367,20586,7.558,24.734,625,626,5538
1978,315,16558,18793,1214531,1203063,2495,13.309,2402,12.813,199694,73041,126653,6.071,16.599,176891,84902,91989,7.057,14.703,22803,1.895,29.407,1795,1811,43491
1978,316,2379,2791,248170,249638,255,9.083,288,10.258,31566,8099,23467,3.244,12.645,34955,16330,18625,6.541,14.002,-3389,-1.358,25.289,196,199,3563
1978,321,14709,16570,569965,545898,2126,12.965,1781,10.861,111432,35850,75582,6.567,20.413,63522,30773,32749,5.637,11.636,47910,8.776,23.273,1245,1252,12077
1978,322,3709,5731,612034,603718,549,9.796,296,5.281,58944,20851,38093,3.454,9.764,41976,18751,23225,3.106,6.953,16968,2.811,13.906,138,138,2806
1978,323,29585,30903,602528,584287,3643,11.985,2632,8.659,94468,26958,67510,4.614,16.168,58219,28387,29832,4.858,9.964,36249,6.204,19.928,1939,1946,11456
1978,324,1446,2279,452321,453049,226,9.978,198,8.742,30562,7235,23327,1.597,6.746,32562,3521,29041,0.777,7.187,-2000,-0.441,13.492,66,66,802
1978,325,7956,11500,921025,912199,1029,8.963,990,8.623,92931,24577,68354,2.694,10.188,74869,34602,40267,3.793,8.208,18062,1.980,16.415,493,497,5730
1978,326,9800,11588,714974,689333,1413,12.413,1004,8.820,113400,29926,83474,4.341,16.451,62607,25330,37277,3.675,9.082,50793,7.368,18.165,661,663,9037
1978,327,12549,15543,579589,564774,1548,10.017,1371,8.871,84289,18737,65552,3.318,14.924,54733,21205,33528,3.755,9.691,29556,5.233,19.382,870,884,6433
1978,331,4543,5686,776783,763284,419,7.374,411,7.233,79439,16189,63250,2.121,10.408,53127,23526,29601,3.082,6.960,26312,3.447,13.921,243,245,4183
1978,332,44480,48170,1737935,1671040,5118,10.927,2454,5.239,283972,67434,216538,4.035,16.994,150738,54815,95923,3.280,9.021,133234,7.973,18.041,1586,1596,19590
1978,333,24773,27392,1736170,1688029,2612,9.659,1915,7.081,249164,63667,185497,3.772,14.761,152520,64535,87985,3.823,9.035,96644,5.725,18.071,1231,1234,11311
1978,334,9564,11018,1434447,1385225,1520,14.008,1186,10.930,225810,47994,177816,3.465,16.301,127384,51076,76308,3.687,9.196,98426,7.105,18.392,763,766,13527
1978,335,4767,5831,692447,679246,656,11.369,534,9.255,102932,30296,72636,4.460,15.154,76701,43305,33396,6.375,11.292,26231,3.862,22.584,271,272,3603
1978,336,8317,9838,2083473,2040768,1153,11.216,2037,19.815,234984,51319,183665,2.515,11.514,149281,49667,99614,2.434,7.315,85703,4.200,14.630,1556,1557,13097
1978,337,14751,15619,542223,518073,2205,14.364,1669,10.872,101691,29302,72389,5.656,19.629,52633,27986,24647,5.402,10.159,49058,9.469,20.319,1228,1234,11092
1978,339,23326,24567,681242,660229,3314,13.708,2533,10.477,122511,35848,86663,5.430,18.556,80748,33915,46833,5.137,12.230,41763,6.326,24.461,1880,1885,14005
1978,423,135074,175529,2150433,2068468,23847,13.863,16820,9.778,467217,171833,295384,8.307,22.588,304083,145282,158801,7.024,14.701,163134,7.887,29.402,9819,10041,51549
1978,424,90656,116574,1536122,1500439,13949,12.058,12174,10.523,320021,110085,209936,7.337,21.328,247784,118048,129736,7.868,16.514,72237,4.814,33.028,7490,7625,46318
1978,425,24156,26718,262560,253835,3649,13.978,2424,9.285,58195,20484,37711,8.070,22.926,40913,18818,22095,7.413,16.118,17282,6.808,32.236,1473,1477,6991
1978,441,92223,110032,1304292,1252966,13157,12.157,9549,8.823,234789,80660,154129,6.438,18.739,132013,52697,79316,4.206,10.536,102776,8.203,21.072,6865,7007,35878
1978,442,40849,46649,321763,305113,7750,17.067,5273,11.612,82516,36865,45651,12.082,27.044,49080,23257,25823,7.622,16.086,33436,10.959,32.172,3743,3836,13475
1978,443,25563,32161,180214,170092,5657,17.964,4318,13.712,50991,25020,25971,14.710,29.978,31074,16544,14530,9.727,18.269,19917,11.710,36.538,2773,2842,9868
1978,444,67101,83217,719850,686770,9763,11.937,6906,8.444,158954,59894,99060,8.721,23.145,92208,40185,52023,5.851,13.426,66746,9.719,26.853,4498,4552,18116
1978,445,117002,165773,1908733,1837950,22732,13.772,21294,12.901,435580,200024,235556,10.883,23.699,295575,146509,149066,7.971,16.082,140005,7.617,32.164,13609,13855,60818
1978,446,37806,51999,484933,478488,5986,11.701,4305,8.415,96048,42853,53195,8.956,20.073,83856,43682,40174,9.129,17.525,12192,2.548,35.050,2180,2251,12628
1978,447,122704,153806,865287,832859,21880,14.017,26469,16.956,250920,103303,147617,12.403,30.128,185750,95951,89799,11.521,22.303,65170,7.825,44.605,18354,18649,61833
1978,448,86743,140954,1030920,998246,21361,15.378,17268,12.431,262551,118051,144500,11.826,26.301,198021,97880,100141,9.805,19.837,64530,6.464,39.674,8940,9406,38759
1978,451,37281,46944,276760,263679,8833,19.259,6672,14.548,80205,36950,43255,14.013,30.418,53947,26907,27040,10.204,20.459,26258,9.958,40.919,4533,4607,16428
1978,452,15672,37079,1921284,1871196,3819,10.293,3865,10.417,310277,130743,179534,6.987,16.582,211112,70583,140529,3.772,11.282,99165,5.300,22.564,1983,2050,10641
1978,453,70346,80784,399187,375947,14687,18.629,10799,13.697,120059,50199,69860,13.353,31.935,73477,36884,36593,9.811,19.545,46582,12.391,39.089,7663,7804,21760
1978,454,26240,34558,352609,343529,4586,13.380,4019,11.726,85808,42248,43560,12.298,24.978,68273,30981,37292,9.018,19.874,17535,5.104,39.748,2409,2435,11931
1978,481,1252,2630,233434,225178,389,14.654,438,16.500,39668,3837,35831,1.704,17.616,23273,5763,17510,2.559,10.335,16395,7.281,20.671,150,151,1006
1978,483,858,1202,51683,49622,197,16.589,168,14.147,14334,8045,6289,16.213,28.887,10027,5597,4430,11.279,20.207,4307,8.680,40.414,90,103,2372
1978,484,58920,67494,1040424,1002602,12598,18.982,10343,15.585,261968,95207,166761,9.496,26.129,187700,81567,106133,8.136,18.721,74268,7.408,37.443,7428,7441,29469
1978,485,11861,12642,244791,243022,1859,14.785,1722,13.695,48108,14947,33161,6.150,19.796,44376,20083,24293,8.264,18.260,3732,1.536,36.520,1394,1400,13110
1978,486,307,1454,69100,65650,189,13.390,104,7.368,14775,7094,7681,10.806,22.506,8090,3752,4338,5.715,12.323,6685,10.183,24.646,15,15,128
1978,487,847,865,13527,11819,177,20.775,151,17.723,5169,1578,3591,13.352,43.737,1756,851,905,7.201,14.858,3413,28.878,29.716,118,118,586
1978,488,9298,12514,299488,281496,2140,17.580,1458,11.977,90908,38623,52285,13.721,32.295,55331,22929,32402,8.145,19.656,35577,12.639,39.312,874,887,6471
1978,492,2079,2462,96121,94785,576,23.160,626,25.171,14210,2655,11555,2.801,14.992,11746,5706,6040,6.020,12.392,2464,2.600,24.785,476,476,1837
1978,493,5511,8568,379870,369458,958,11.333,729,8.624,73185,22695,50490,6.143,19.809,52116,14048,38068,3.802,14.106,21069,5.703,28.212,247,248,1569
1978,511,15389,17398,609073,591669,2762,16.318,1819,10.746,91442,30339,61103,5.128,15.455,57049,29190,27859,4.934,9.642,34393,5.813,19.284,1229,1236,9156
1978,512,8811,14219,185701,182534,2621,18.609,2352,16.699,57604,25244,32360,13.830,31.558,50946,27556,23390,15.096,27.910,6658,3.648,55.821,1174,1264,10228
1978,515,5170,6046,169347,162091,599,10.070,404,6.792,30751,11094,19657,6.844,18.972,16338,7245,9093,4.470,10.080,14413,8.892,20.159,275,281,3574
1978,517,3016,16901,982106,955099,968,5.754,812,4.827,161554,15960,145594,1.671,16.915,106861,8632,98229,0.904,11.188,54693,5.726,22.377,199,202,1690
1978,518,4499,5924,162913,156343,1221,21.333,820,14.327,43597,18239,25358,11.666,27.885,30594,15266,15328,9.764,19.569,13003,8.317,39.137,407,414,3687
1978,519,1941,2315,27178,27416,271,12.061,135,6.008,5058,1148,3910,4.187,18.449,5665,3801,1864,13.864,20.663,-607,-2.214,36.898,92,93,2920
1978,521,21,53,23522,23823,(D),(D),0,0.000,1112,(D),1083,(D),4.668,1697,0,1697,0.000,7.123,-585,-2.456,9.336,0,0,0
1978,522,45951,101178,1870249,1818427,8648,8.645,6361,6.359,297598,84247,213351,4.633,16.366,192818,63104,129714,3.470,10.604,104780,5.762,21.207,1701,1729,11611
1978,523,12025,15843,227551,227034,2883,18.572,2244,14.456,50755,17015,33740,7.494,22.356,49459,20012,29447,8.815,21.785,1296,0.571,43.570,1440,1514,8659
1978,524,87768,112377,1887897,1832432,14297,12.986,9739,8.846,339576,94455,245121,5.155,18.531,227214,100523,126691,5.486,12.400,112362,6.132,24.799,5445,5460,17705
1978,525,1271,1485,21000,21257,324,23.589,101,7.353,3772,2206,1566,10.378,17.745,4671,747,3924,3.514,21.974,-899,-4.229,35.490,60,60,278
